NOMBRE DE LA FARMACIA,NOMBRE DE CONTACTO,DIRECCION,DEPARTAMENTO,MUNICIPIO,TELEFONO,CELULAR,NIT
28 DE DICIEMBRE,,"AVENIDA LUIS RODRIGUEZ PARDO NO. 1130, ENTRE CALLE COLOMBIA Y CALLE PERU, ZONA URBANIZACION EL PROGRESO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,73268396,330012026
6 DE MARZO,SILVIA PATZI CALDERON,"CALLE 2 Y 3 DE LA AVENIDA 6 DE MARZO, NO. 6, ZONA 12 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,76792832,3397258019
6 DE MARZO II,,"AVENIDA 6 DE MARZO, ENTRE CALLE 5 Y 6, NO. 145, ZONA 12 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,76792832,3504017017
6 DE MARZO III,,"CALLE 5, ENTRE LA AVENIDA 6 DE MARZO Y JORGE CARRASCO, NO 100 ZONA 12 DE OCTUBRE DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,76792832,3504017017
AARON PHARMA,,"AVENIDA JAIMES FREYRE , NRO 2313, ENTRE CALLE MENENDEZ PELAYO Y CALLE R. BUSTILLOS, ZONA TEMBLADERANI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,69898902,9204769018
ABDIEL,JIMENA ARIANA CEREZO CALLISAYA,"AV. TEJADA SORZANO NO. 351, ZONA VILLA FATIMA, ENTRE CALLES AGUSTIN SAAVEDRA Y FELIPE LOPEZ DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,61016386,8443109011
ACHE-D,DORA HUANCA DE LA CRUZ,"CALLE COPACABANA NO. 1800 ESQUINA CALLE 5 DE AGOSTO FRENTE A LA PLAZA GERMAN BUSCH, LOCAL 2, ZONA ALTO LIMA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,78840085,4937141018
ACHOCALLA,CLAUDIA ARTEMICIA PINTO ROCHA,"AV. HUANCARANI, ZONA MULLACANI, NO. 100 DEL MUNICIPIO DE ACHOCALLA DEL DEPARTAMENTO DE LA PAZ",LA PAZ,ACHOCALLA,,78880866-78828300,5592290012
ACRIBOL,JORGE ARMANDO SERRUDO JUAREZ,"AV. ESTRUCTURANTE, NO.9, ENTRE CALLE JUANVELEZ DE CORDOVA Y CALLE F, APAZA, ZONA VILLA MERCEDES A, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,69997055,6821328011
A&D,ANTONIA FRIAS,"AV. BUENOS AIRES NO. 1831, ZONA INCA LLOJETA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,69860699,2055921018
ADEVENIR,LIDIA LAYME MAMANI,"CALLE 4 , NRO: 759 URBANIZACIÓN PRIMERO DE MAYO, ENTRE CALLE LUIS GUARDIA Y AVENIDA JUANA AZURDUY DE PADILLA, PLANTA BAJA, TIENDA EXTERIOR, (A UNA CUADARA DEL CENTRO DE SALUD PRIMERO DE MAYO)",LA PAZ,EL ALTO,,61999006,12750922011
ADMIRABLE,VERONICA MITA DIAZ,"AVENIDA LITORAL NO. 2015, ESQUINA AVENIDA COCHABAMBA, ZONA SAN LUIS PAMPA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,76576071,6957345010
ADONAI JUAN,JULIO CESAR MARIACA AJHUACHO,"AVENIDA COCHABAMBA NO. 2021, ENTRE CALLE PROVINCIA MUÑECAS Y AVENIDA ESTRUCTURANTE, URBANIZACION PUERTO RICO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,77763769,7074324015
ADRIAN,JANNETH YAÑIQUEZ BENAVIDES,"AVENIDA ANTOFAGASTA NO. 1132, ZONA VILLA DOLORES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,70620691,4832751017
ADRIANA,HENRY OMAR SUXO LAYME,"AVENIDA MARISCAL SANTA CRUZ, NO 938, ENTRE CALLE SAGARNAGA Y COCHABAMBA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,74081321,6170155014
ADULAM,,"AVENIDA JULIO CESAR VALDEZ NO. 3164, ESQUINA CALLE PHIGO, ZONA COSMOS 79 DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,68134788,9982213018
AFAMYFAR,NESTOR NELSON CONDORI PATZI,"AVENIDA GUADALQUIVIR NO. 270, ZONA NUEVOS HORIZONTES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,75885613,9910543015
AGUA DE VIDA,OSCAR ROLANDO GANDARILLAS GONZALES,ZONA EL TEJAR DE LA CIUDAD DE LA PAZ,LA PAZ,LA PAZ,,72502935,4843277019O
AGUA DE VIDA EC,CARLA ALICIA ESPEJO CHOQUE,"AVENIDA LADISLAO CABRERA, NO. 1126, ZONA VILLA MERCEDES ""A"", ENTRE AV. ESTRUCTURANTE Y AVENIDA SANTOS ATAHUALLPA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,77587813,7078632010
AGUA RICA,SONIA MARLENE PINTO ZARCO,"CALLE AYATA, NO. 1198, ZONA CHAMOCO CHICO, CASI ESQUINA DE LA CALLE JUAN GUTIERREZ PANIAGUA, FRENTE DE LA PLAZA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,62573979-73206513,4867588015
AGUILAR,NADIR JHOANA VELASQUEZ AGUILAR,"AV. SUCRE NO. 3231, ZONA VILLA TUNARI DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,2865215,71904154,2745758011
AIDEN,NATIVIDAD MONTERO HINOJOSA,"AV. BALTAZAR DE SALAS NO. 900, ENTRE CALLE JOSE PARAVICINI Y ANIBAL AGUILAR, ZONA VINO TINTO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,71262360,4749605011
AJAYU,KEVIN RODRIGO ILLANES LLANOS,"AV. COSTANERA PROXIMO A SUBIDA A EL PEDREGAL AL LADO DEL TALLER MECANICO, NO. 1665, ZONA CALACOTO ALTO (LOS ALMENDROS) DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77260456,4808118010
AKINETON,MANUEL JOSE VARGAS SANTALLA,"CALLE CONSTANTINO MEDINA, NO. 100, P.B., ENTRE (CALLES 9 Y 10) ZONA VILLA DOLORES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,78805679,2312332016
ALAN MATIAS,ELIANA SANDAGORDA LAYME,"AV. JAIMES FREIRE NO. 1848, LOCAL 2, ZONA TEMBLADERANI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,71531424,6124803017
ALBA,WENDY ESTHER ALIAGA MONASTERIOS,"AVENIDA JUAN LECHIN OQUENDO NO. 936, ZONA RIO SECO PLAN LOTES Y SERVICIOS ENTRE LA CALLE AGUAS DE LA VIDA Y AVENIDA BOLIVAR, FRENTE A LA CANCHA MERCADO EL CARMEN DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,75818164,6055796018
ALDIES,CINTIA LIZETH CALZADA VILLA,"AV. TIAHUANACU, ZONA ANEXO VILLA BOLIVAR ""D"" NO. 2094 ENTRE CALLE MARIA PALACIOS Y CALLE CHAYANTA DE LA CIUDAD DE EL ALTO - LA PAZ",LA PAZ,EL ALTO,,65155528-70629589,8402540015
ALEFARMA,SONIA RAQUEL MIRANDA PATZI,"CALLE GRANEROS NO. 671, ZONA 14 DE SEPTIEMBRE DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,,6135890014
ALEGRE,SDHENKA ADRIANA TORREZ ALEGRE,"CALLE MUNAYPATA, NO. 695. ESQUINA TUMUSLA, A UNA CUADRA DE LA PLAZA GARITA DE LIMA, ZONA EL ROSARIO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,77529352,12420187011
ALELI,,"AVENIDA CIRCUNVALACION N° 230, ENTRE CALLE 6 Y 7, ZONA ALTO IRPAVI",LA PAZ,LA PAZ,,77745493,3305233012
ALENRA,AMILCAR VLADIMIR LAURA BELTRAN,"AV. KOLLASUYO NO. 1991 ENTRE CALLE PIRAI Y 26 DE MAYO, ZONA EL TEJAR DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,70594297,6171249019
ALEXANDER,WILBER ROLANDO CONDORI PADILLA,"AV. BAUTISTA OQUENDO NO. 5585 ZONA JUANA AZURDUY DE PADILLA, ENTRE AV. 14 DE SEPTIEMBRE Y CALLE QUILIMA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,75263466,6120290010
ALEX GABRIEL,OLIVIA CINTYA RAMOS MAMANI,"CALLE MIROSAPANI NO. 1265, ESQUINA CALLE QUILLOMA, ZONA COSMOS 79, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,72036034,5976114019
ALEXIA,LIZZETHE XIMENA TARQUI ENAO,"AV. EDUARDO ABAROA NO. 36 ENTRE C. SORATA Y C. COPACABANA, ZONA ALTO LIMA, 1RA SECCION DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,63122032,6077955014
ALI,MARY EUGENIA ALI MAMANI,"CALLE 5 EDIFICIO IMPERIO, PISO PB DEPATAMENTO/ OFICINA: SN NRO423 ZONA IRPAVI, ENTRE CALLES PABLO CABALLERO Y ALTAMIRANO",LA PAZ,LA PAZ,,6558263,6819461018
ALIFARMA,MARIBEL EUGENIA ALI TORREZ,"CALLE LURIBAY NO. 1785, PISO P.B. ZONA MUNAYPATA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,79100705,4952502011
ALIVIA-TE STAT,,"AV. PERIFERICA, ESQUINA CALLE CHIRCA NO. 202, ZONA ROSASANI, DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,75888560 - 68584507,4921161014
ALIVIEMOS BOLIVIA,ERIKA ANDREA COTILLO POMA,"CALLE RICARDO BUSTAMANTE NO. 619, AL FRENTE DE LA PLAZA GRAN PODER ENTRE CALLES BENENCIO BURGOA Y SEBASTIAN SEGUROLA, ZONA GRAN PODER DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,75842940,4880232016
ALIVIOX,ANA YESENIA SIRPA CRUZ,"AVENIDA HERNANDO SILES, NRO. 2, ENTRE CALLE ARMAN CHIRVEC Y CALLE MAMORE, ZONA VILLA ADELA  PLAN 560, CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,75259710,9902026013
A. L. J. FARMA,WILLY WILFREDO QUISPE TTITO,"CALLE 4 NO. 21, ZONA SANTA ROSA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,73529458,216298022
ALL PHARMACY II,GABY PAMELA HUANCA COPA,"AV. SAAVEDRA NO. 2192, ZONA MIRAFLORES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2944566,70555183,4784893012
ALL PHARMACY III,JACQUELINE JANNETTE ARUQUIPA OROPEZA,"AV. SAAVEDRA NO. 2192, ZONA MIRAFLORES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2229678,70555183,4784893012
ALL PHARMACY IV,LIDIA BETTY CHAVEZ ZUBIETA,"AV. SAAVEDRA NO. 1560, ZONA MIRAFLORES DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2223070,,4784893012
ALONSO,NEYDA MELVI AGUILAR BUSTILLOS,CALLE MERCEDES CAMACHO NO. 700 ZONA 12 DE OCTUBRE DE LA CIUDAD DE EL ALTO,LA PAZ,EL ALTO,,70557220,4314822012
ALQUIMIA - Z,WILMA LILIAN ZILVETTY TORRICO,"AV. ARMENTIA NO. 660, ENTRE CALLES PISAGUA Y ALTO DE LA ALIANZA ZONA NORTE DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,60593061,4912874016
AL-SIL,SILVIA HUARINA RAMOS,"PLAZA INFANTIL MEDIA LUNA, NO. 2274, ZONA SAN JOSE DE YUNGUYO, ENTRE AVENIDA BUENOS AIRES Y AVENIDA CARABOBO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,74908485,6066623019
ALVARADO,BRIGIDA FANNY ALVARADO ALARCON,"AV. PANORAMICA NO.50, ZONA 16 DE JULIO DE LA CIUDAD DE EL ALTO - LA PAZ",LA PAZ,EL ALTO,,72041629,3346977019
ALVARADO T,,AVENIDA VICENTE BALLIVIAN N° 1794 ENTRE AVENIDA CESAR ACHAVAL Y CALLE NUÑEZ DEL PRADO,LA PAZ,EL ALTO,,73732702,4375383018
AMATISTA,STEFANI ROSALIA ROJAS HUARACHI,"CALLE JAIME ZUDAÑEZ NO. 1459, ENTRE AVENIDA JAIMES FREIRE Y CALLE VALENTIN AVECIA, ZONA TEMBLADERANI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,70520171,9885999015
AMAZONAS STAR,,"CALLE PELECHUCO ESTACION 16 DE JULIO, TELEFERICO ROJO PLANTA BAJA OF. 5 ZONA 16 DE JULIO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,77779076,4744811014
AMED,EDWIN FERNANDEZ CALLEJAS,"CALLE FRANCISCO ROMERO NO. 58, ENTRE CALLE 6 Y 7, ZONA VILLA DOLORES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,63146179-70686318,2273740017
AMIFAR,MARIA JOSE CUSICANQUI GUTIERREZ,CALLE 132 NO. 100 ESQUINA CALLE TELLEZ ZONA BOLIVAR D DE LA CIUDAD DE EL ALTO,LA PAZ,EL ALTO,,65170749-70149649,8440670014
ANAHI,MARIA NILDA LLANOS CESPEDES,"AV. INTEGRACION NO. 990, ENTRE CARRETERA LA PAZ - ORURO, ZONA URBANIZACION VICTORIA SENKATA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,68000156,4086441014
ANBEED,ROSARIO MAMANI ARIAS,"CALLE 10 LOS CEIBOS N° 200,  ENTRE CALLE 9 Y 11 ZONA LLOJETA BAJO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,70684126,12427390012
ANBEED SUCURSAL 1,ANA RUTH GUTIERREZ POVEDA,"CALLE 21, EDIFICIO SENECA, N° 200, ESQUINA AVENIDA GARCIA LANZA, ZONA ACHUMANI DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,60166125 - 70684126,12427390012
ANBEED SUCURSAL 2,ADRIANA VALERIA RADA MACHICADO,"CALLE 25 ARTURO FORTIN SANJINES, EDIFICIO ENGEL, NRO. 102, PISO 1, LOCAL 2, ZONA CALACOTO DE LA CIUDAD DE EL ALTO.",LA PAZ,LA PAZ,,,12427390012
ANDANIEL,SHINDY LILIAN POMA LAURA,"AVENIDA CIVICA, N° 27 ENTRE CALLE 10 Y CALLE 11, ZONA VILLA TEJADA TRIANGULAR  DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,72321353,8264114010
ANDIFAR,MARY LINDA FERNANDEZ MAMANI,"AV. BENITO LINCH NO. 3075, ESQUINA AV. PANORAMICA, ZONA MARISCAL SUCRE, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,75200828,6038381011
ANDINA,JISELA SHIRLEY TICONA HUANCA,"AVENIDA 6 DE MARZO, DENTRO DE LA ESTACION TELEFERICO MORADO NO. 4 ZONA VILLA BOLIVAR B, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,69888008,70047398010
ANDREA ALEXANDRA,CRISTINA VELARDE JAVIER,"CALLE ADOLFO BORDA ESQ. CALLE 18 DE NOVIEMBRE NO. 24, ZONA BALLIVIAN 2DA SECCION DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,73094409,3499451019
ANEXO VMR,VICTOR MANUEL ROGER CHOQUE MOLLINEDO,"AVENIDA COCHABAMBA, N° 301, ZONA COSMOS 78,ESQUINA CALLE C, A CUATRO CUADRAS DEL SURTIDOR LOZA DE LA CIUDAD DE EL ALTO.",LA PAZ,EL ALTO,,65636128,9963181015
ANGELA & CIELO,,"CALLE BENI NO. 220, ENTRE LA AV. HERNAN SILES, SUAZO Y CALLE VILLAZON , ZONA SAN SALVADOR DE MUNICIPIO DE VIACHA",LA PAZ,VIACHA,,79521526,6077121010
ANGEL DE DIOS,LENNY EMMA PEREZ QUISBERTH,"CALLE 30, EDF. LA LAGUNA, PISO PB, LOCAL 1, ZONA COTA COTA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,67197473,3453052016
ANGEL DE LAGUNAS,,"CALLE JUAN GUTIERREZ PANIAGUA NO. 944, P.B., ZONA CHIJINI ALTO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,78759910-77532676,4022224015
ANGEL DE LUZ,,"CALLE 30, EDIF. LA LAGUNA, S/N, PISO SOTANO, OF. 1, DE LA ZONA DE COTA COTA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,70581229-72010203,3323370010
ANGEL DE VIDA,LOURDES CRISTINA QUISBERT,"AVENIDA MARIO MERCADO, NO. 1127, ZONA VILLA SALOME, URBANIZACION COSMOS 85, DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,71582146,2607280013
ANGELES Y GABRIEL,GABRIELA MELANY PACOSILLO PACO,"CALLE COMERCIO, EDF. GALERIA COMERCIO, PB. OF. 1, NO. 866, ENTRE PICHINCHA Y GENARO SANJINEZ, ZONA CENTRL DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,73030509,6945405014
ANGEL GABRIEL,GLADYS CALLE YUJRA,"PLAZA 21 DE DICIEMBRE, EDIFICIO SIN NOMBRE, PISO: PLANTA BAJA/DEPARTAMENTO/LOCAL/OFICINA/; TIENDA EXTERNA, NO. 78, ENTRE AVENIDA 21 DE DICIEMBRE Y CALLE B, ZONA VILLA DOLORES F DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,79699516,3412679014
ANGELICA,MARISABEL ALARCON CHOQUEHUANCA,"AV. BUENOS AIRES NO. 4674, ENTRE  LA AV. 26 DE MARZO, ZONA URBANIZACIÓN VELEROS DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,7006569,7006569019
ANGEL SAMUEL,LUIS CAMILO CANAVIRI CRUZ,"CALLE LUPE DE GARCIA, NO. 3225, ZONA VILLA ALEMANIA ENTRE CALLES B ALEMANIA Y CALLE TOMAS KATARI DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,79543544,4304548019
ANGLES R Y C,CELIA LOMA AROCUTIPA,"AV. 14 DE SEPTIEMBRE, ESQUINA CALLE 62 NO. 97, ZONA OVEJUYO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,63074807,6854764011
ANITA,ANA GARCIA ESCOBAR,"AVENIDA ANTOFAGASTA ENTRE CALLES 6 Y 7 NO. 1165, ZONA VILLA DOLORES DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,76250294,2711400013
AN-MARY,MARIA MELBA CRUZ FLORES,"AV. 2, NO. 2385, ENTRE CALLES 10 Y 11, ZONA SANTIAGO II, FRENTE A LA PLAZA DEL MINERO DE LA CIUDAD DE EL ALTO - LA PAZ",LA PAZ,EL ALTO,,76220007,3303379019
A&P,ELENA VIRGINIA VELASCO MAMANI,"PROLONGACION CALLE 20, NO. 217, T-2 ZONA BELLA VISTA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,68000866,2476580015
APOLO,BETTY ESCOBAR ESPINOZA,"AVENIDA INGAVI #93, ZONA CENTRAL DEL MUNICIPIO DE VIACHA",LA PAZ,LA PAZ,,73702126,2299833013
APOSTOL FARMA,ALEIDA CAMPERO BUSTILLOS,"CALLE 4 NRO. 80 EDIFICIO S/N, PISO PLANTA BAJA ENTRE CALLE 3 Y CALLE 5, ZONA VILLA EXALTACIÓN DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,67048741,9898402010
APOSTOL SANTIAGO,,"CALLE VICENTE OCHOA NO. 1006, ZONA GRAN PODER DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2451699,,2350259015
APOSTOL SANTIAGO QUIME,,"CALLE BALBOA GARCIA, NO. 3707, ESQUINA CALLE VICTOR GUTIERREZ A MEDIA CUADRA DEL HOSPITAL HTS, ZONA LOS ANDES DEL MUNICIPIO DE EL ALTO",LA PAZ,EL ALTO,,74003274,7068145014
APOST-RED,RAMIRO CRUZ GAMON,"AV. SUCRE NO. 601, ESQUINA PATIO 6 FRENTE AL MERCADO EL CARMEN, ZONA RIO SECO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,71902147,3420386015
AP. SANTIFAR,,"CALLE SANTA CRUZ NO. 490, EDIF. SANTA CRUZ PISO P.B. DPTO. T-5, OF. T-5 ZONA EL ROSARIO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,76220069,2704948010
AQUILES TRAIGO EL REMEDIO,LESLY DEJHANIRA CHINO DURAN,"AVENIDA DEL POLICIA  N° 7 ENTRE CALLE DIEGO OCAÑA Y CALLE ALFREDO SANJINEZ, ZONA VILLA TEJADA ALPACOMA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,67134738,12483532014
ARBOL DE VIDA,SONIA CALLISAYA MAMANI,"AVENIDA PANAMERICANA, NO. 2875, URBANIZACION 21 DE OCTUBRE, ENTRE CALLE J.J. TORREZ Y AV. BOLIVIA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,73081272,6036496015
ARBOTT LTDA,NILZA MIRIAM CORO ROSALES,CALLE MACARIO PINILLA NO. 245 ZONA SAN JORGE DE LA CIUDAD DE LA PAZ,LA PAZ,LA PAZ,2434822-2433394,,1004517027
ARCA DE NOE,,"AV. PANORAMICA NO. 4001, ZONA TEJADA RECTANGULAR DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,61176532,6767681016
ARCAMEDIC,DANIEL CARLOS PINTO MENCIAS,AVENIDA 9 DE AGOSTO NRO. 4244. ENTRE AVENIDAS FELICIANO KANTUTANI Y CALE MIGUEL ANTELOZONA III  MERCEDARIO DE LA CIUDAD DE EL ALTO,LA PAZ,EL ALTO,,63388266,992058010
ARCANGEL MIGUEL,ABIGAIL KATERIN LIMACHI NINA,"AVENIDA JUAN MISAEL SARACHO, NO. 1307, ENTRE CALLE SUCRE Y CALLE 10 A 6 CUADRAS DEL MERCADO CARMEN, ZONA CONAVI BIRF DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,70588732,10918288013
ARCANGEL URIEL,NORAH GREGORIA TRUJILLO PANTOJA,"AV. PANAMERICANA, ENTRE CALLE OMASUYO Y CALLE 25 DE JUNIO, NO.1025 , ZONA BAUTISTA SAAVEDRA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,68137157,2375470012
AREA DE RADIOFARMA DEL INSTITUTO NACIONAL DE MEDICINA NUCLEAR,,"CALLE MAYOR RAFAEL ZUBIETA NO. 1555, ZONA MIRAFLORES BAJO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2226116-2229884,77201397,1029563028
ARFAD,BLANCA MACHACA CRUZ,"AV. CAQUINGORA, NO. 1010, ZONA COSMOS 79, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,78913724,7016145018
ARIANI,SANDRA CARMINIA TAQUICHIRI,"AV. B NO. 227, ZONA KENKO DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,,5472599010
ARIANNE,,"CALLE 25-A NRO: 171 ZONA CIUDAD SATELITE, ENTRE CALLE DIEGO DE PORTUGAL Y CALLE VICENTE LECUNA",LA PAZ,EL ALTO,,77284404,4376296013
ARLETH,,"CALLE INCA SEBASTIAN ACOSTA NO. 683, ZONA VILLA COBACABANA DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,2239059,69710337,6090562017
ARMENTIA,CONSUELO ARANCIBIA RODRIGUEZ,"AV. ARMENTIA NO. 517, ZONA NORTE DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,70524389,2635216012
ARTESANAL,MARIA CLARIBEL QUIROZ CHILO,"AVENIDA 20 DE OCTUBRE NO. 1780, ENTRE CALLES CONCHITAS Y CASTRILLO, ZONA SAN PEDRO DE LA CIUDAD DE LA PAZ",LA PAZ,LA PAZ,,79144901,1012471029
ARTURO VALLE,MATTIE PEREZ CRUZ,CALLE ARTURO VALLE NO. 3715 ZONA LOS ANDES DE LA CIUDAD DE EL ALTO,LA PAZ,EL ALTO,,72071493,2762837014
ASHLY,ROCIO DEL ROSIO HURTADO ARAGON,"AVENIDA ACONGAGUA NRO. 4044, ESQUINA CALLE VICTORIA, ZONA SENKATA DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,22394141,69857976,4272040010
ASUNCION,,"AVENIDA CAMBOYA, NO. 3775 ZONA NUEVA ASUNCION, DE LA CIUDAD DE EL ALTO",LA PAZ,EL ALTO,,71988435,6192546016
